id,title,publishedAt,categoryId,viewCount,likeCount,dislikeCount
s9WQbnaMR0c,習譜予 - 等下一個他「 官方MV版 」♪Karendaidai♪,2018-05-08,10,30336,500,13
KGrulNiJ6Uc,Kimberley陳芳語《愛你AINI》Official MV(HD),2012-04-23,10,97566381,236914,7322
Oayma-ggbUk,宇多田ヒカル - 「First Love」ジャケット写真撮影風景(1998年）,2015-02-07,10,270780,1246,91
-0bspXmDI7E,季彥霖 - 多想愛你『也許命中註定，他比我適合你。』【動態歌詞Lyrics】,2019-01-04,10,5177964,18073,558
nQWFzMvCfLE,What A Beautiful Name - Hillsong Worship,2016-09-30,10,276883082,1050194,57070
3_g2un5M350,Starboy,2018-04-19,10,4835422,63550,15650
sIaT8Jl2zpI,Lauren Daigle - You Say (Official Music Video),2018-07-13,10,71919070,589843,19518
jIzOIsQWMfg,Eric周興哲《至少我還記得 At Least I Remember》Official Music Video,2019-02-14,10,1690529,27786,221
av5JD1dfj_c,"Sam Smith, Normani - Dancing With A Stranger",2019-01-29,10,89762601,768709,18602
r_Q2ZtrJmwM,Woke,2015-08-23,10,9889,159,54
TMB6-YflpA4,周杰倫 Jay Chou【手寫的從前 Handwritten Past】Official MV,2014-12-30,10,41120648,87918,2799
gdGdO6KjF1I,Eric周興哲《 如果雨之後 The Chaos After You 》Official Music Video,2017-12-19,10,58829712,114092,4898
AlIEogRBK_I,Jony J - 不用去猜『我知道燈，不會在任何時候為我開。』【動態歌詞Lyrics】,2018-04-27,10,996971,5943,148
TU2hbd1QJnA,YCCCC- 就忘了『反正我們彼此都沒有錯，可能你已不需要我。』【動態歌詞Lyrics】,2019-01-31,10,717437,3037,48
_lZlhTeY5Yc,馬馬 - 你的重要『你的事情被我寫在了心底。』【動態歌詞Lyrics】,2018-12-15,10,2713457,6503,233
E9-HjAr034M,Marshmello x DuckTales - FLY (Music Video),2018-06-23,10,21996793,482659,9739
6kn4SHi5KUs,李榮浩 07 都一樣,2013-12-30,10,3195570,5775,127
Yqw6c5R_KAs,李榮浩 Ronghao Li - 歌謠 Ballad (華納 Official HD 官方MV),2017-09-04,10,5476978,17498,490
qJoAS4kZEDk,At Least I Remember,2019-01-09,10,11186,93,8
iqPYzVxK62Y,Eric周興哲《至少我還記得 At Least I Remember》Official Lyrics Video,2019-01-28,10,1510572,13066,146
9KvCJi7t2DE,White Iverson,2018-06-27,10,3322851,44608,9739
IDyQO0QuvKY,Hope,2018-12-13,10,2686760,33667,7999
5Lq1IOCCzkI,Mika Nakashima - Boku Ga Shinou To Omottanowa (Music Video short ver.),2013-10-11,10,763307,10126,164
vTMAa6zZ7jY,7 Years,2017-03-07,10,5649222,97550,19927
