id,title,publishedAt,categoryId,viewCount,likeCount,dislikeCount
gvyeezGLCIY,劉至佳 - 說愛你 「轉啊轉~就真的遇見 Mr. Right」 完整版 ♪ Karendaidai ♪,2018-12-12,10,4102846,30772,516
YkLyTXJYwgI,任然 - 疑心病『我會用這一生為你守候。』【動態歌詞Lyrics】,2018-03-04,10,52120122,89879,4726
AlIEogRBK_I,Jony J - 不用去猜『我知道燈，不會在任何時候為我開。』【動態歌詞Lyrics】,2018-04-27,10,997357,5945,148
Io_P2ErSj-s,Be Alright,2018-06-22,10,4761467,69476,13442
f3H_hPs63hk,Dancing With A Stranger,2019-01-10,10,3263326,40449,14877
5Xtvxn9myus,Trip,2018-10-11,10,6114525,86592,18177
BcGFYVwzR20,I Found You,2018-12-06,10,152175,1940,2426
anhSjtDJmG0,Don't Matter,2018-07-31,10,85335,2087,269
4p4a6_06AEI,"One, Two Step",2015-01-27,10,3432917,50916,7669
gMxZzEI50Dk,So Sick,2018-08-14,10,89434,2175,243
zI-DERC-sB8,Touch My Body,2018-08-23,10,46697,1240,243
-mAGQUsV6Nw,If I Ain't Got You,2016-11-25,10,2545075,41632,4109
PyW-0U5ECHc,小她《失眠》高音質 / 動態歌詞版MV,2019-01-29,10,23155,507,8
d1wy6LWfHAs,Psycho,2018-04-27,10,16383546,191717,42433
TiZYRRPZpaU,Knees,2018-06-21,10,1070516,15171,5863
xuzag9kTzyI,Coupe,2018-11-01,10,17498,225,50
jEN_mymgfms,Reverse,2018-07-20,10,9835,159,10
yRLHl5w_WhI,小她 - 失眠『怎麼改變才能夠多看我一眼。』【動態歌詞Lyrics】,2018-12-11,10,104958,1344,21
SGy13zKvAoM,Love Alone (Luca Schreiner Remix),2018-10-19,10,270,6,0
qJoAS4kZEDk,At Least I Remember,2019-01-09,10,11186,93,8
c-HMVnVV0CQ,Love U,2017-02-18,10,41372,700,143
3_g2un5M350,Starboy,2018-04-19,10,4836969,63562,15654
IDyQO0QuvKY,Hope,2018-12-13,10,2687878,33675,8003
9LxNbCb1WsA,This Feeling,2018-12-13,10,2250221,25808,9629
9KvCJi7t2DE,White Iverson,2018-06-27,10,3324529,44619,9743
yNAwPaFJXqE,Best I Ever Had,2018-12-12,10,388693,6595,422
hHtv2XMZlKs,Lucid Dreams,2018-12-09,10,4269985,63353,16804
ZsKlIzbVeEw,Body,2017-10-26,10,3182984,33755,3563
0tTn95TLIaw,Better Now,2018-04-27,10,22623426,252363,33809
KFxO-Mj3q0c,What's Wrong,2019-01-09,10,16307,190,15
vOhpv-zj3HY,The Chaos After You,2017-12-14,10,71959,362,111
plnfIj7dkJE,Starboy,2018-04-19,10,97740,1983,399
V1mzLYKb35I,Blank Space,2018-09-12,10,283149,4903,1098
hbNFS2u2ixk,Made In China,2017-05-31,10,87976,1106,425
BRscokbDPYI,Terminal,2018-12-31,10,43057,436,70
ky27mVyl3qU,Bad Habits,2018-12-31,10,356304,2545,941
xo4T7qXxGsA,Happy Now,2018-07-11,10,2710705,32509,10972
hmI2A8yVntY,光年之外 (電影 《Passengers》 中國區主題曲),2016-12-31,10,364983,2517,856
hA6fcqW4Bic,过客,2016-12-15,10,175905,1139,314
O0-TiLklg9Q,"Wang Ji Yong Bao (The movie theme song of ""Another Woman"")",2015-08-29,10,13996,117,8
zsVEBuQkJVI,静悄悄,2018-07-11,10,9351,110,8
azs0_ErHLXE,TikTok - CELINE  Ft.Cloud Wang (王雲) - Say Meow Meow (English Ver.) -《學貓叫》英文版（官方歌詞版）,2018-12-06,10,131692,2592,93
OBs1Fb8adGQ,Alone,2018-06-21,10,1887889,42699,9829
OJBxNA8cX-E,Razihel - Love U [NCS Release],2016-03-23,10,21634447,345720,4376
DsUmmudjkfQ,阿涵 - 過客『我只是個陪伴者，陪著你傷心難過。』【動態歌詞Lyrics】,2018-03-04,10,70389168,118809,7145
6ErImMpqT8g,JelloRio李佳隆《星球杯》高音質 / 動態歌詞版MV,2018-08-01,10,711811,5911,145
11OkhNZDZBM,抖音《下坠Falling》Corki | 喝醉后的梦里，我往前你退后,2018-12-21,10,198154,2927,51
2RrhwDKw-j4,No Role Modelz,2014-12-10,10,29992552,263065,21317
FnV5wmmU0JM,大泫 - 靜悄悄『我害怕這是夢境，不小心會驚醒。』【動態歌詞Lyrics】,2018-10-10,10,2506365,15573,206
RRwLiAGZfc0,좋다고 말해,2017-12-27,10,371736,2864,432
8EIeK68l0VU,金莎 - 愛的魔法『希望你就是對的人。』【動態歌詞Lyrics】,2018-03-04,10,10921400,48335,980
6d-ygS1tKuU,Jasmine,2017-11-18,10,818795,5992,717
hpAgnd0y44A,Travel (여행),2018-05-25,10,1862234,9480,2289
rSvTmvpx0JI,Shine (빛나리),2018-04-03,10,1825211,24233,3587
M2bbLPYSwvs,To My Youth (나의 사춘기에게),2017-09-28,10,1019392,6436,802
